b_id,b_ts,pickup_datetime_same_time,pickup_datetime_1min,which_week,dist_bin,rides_per_minute,sequence,which_week_dummy,before_after_rain_dummy,within_two_hours_dummy
0,2010-01-17 11:51:00,2010-01-17 06:31:00,2010-01-24 06:31:00,Week after,63.75,55,2979,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:32:00,2010-01-10 06:32:00,Week before,63.75,60,3051,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:32:00,2010-01-17 06:32:00,Current week,63.0,68,2345,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:32:00,2010-01-24 06:32:00,Week after,63.5,69,2716,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:33:00,2010-01-10 06:33:00,Week before,63.75,69,3132,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:33:00,2010-01-17 06:33:00,Current week,63.5,55,2394,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:33:00,2010-01-24 06:33:00,Week after,63.5,64,2780,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:34:00,2010-01-10 06:34:00,Week before,63.75,69,3213,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:34:00,2010-01-17 06:34:00,Current week,63.5,64,2443,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:34:00,2010-01-24 06:34:00,Week after,63.0,65,2127,0,6,0
0,2010-01-17 11:51:00,2010-01-17 06:35:00,2010-01-10 06:35:00,Week before,63.75,56,3294,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:35:00,2010-01-17 06:35:00,Current week,63.5,67,2492,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:35:00,2010-01-24 06:35:00,Week after,63.5,70,2527,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:36:00,2010-01-10 06:36:00,Week before,63.75,74,2996,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:36:00,2010-01-17 06:36:00,Current week,63.5,67,2541,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:36:00,2010-01-24 06:36:00,Week after,63.75,71,3321,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:37:00,2010-01-10 06:37:00,Week before,63.75,70,3060,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:37:00,2010-01-17 06:37:00,Current week,63.75,71,3339,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:37:00,2010-01-24 06:37:00,Week after,63.75,72,3020,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:38:00,2010-01-10 06:38:00,Week before,63.75,55,3519,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:38:00,2010-01-17 06:38:00,Current week,63.75,65,3420,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:38:00,2010-01-24 06:38:00,Week after,63.5,63,2695,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:39:00,2010-01-10 06:39:00,Week before,63.75,74,3600,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:39:00,2010-01-17 06:39:00,Current week,63.75,58,3108,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:39:00,2010-01-24 06:39:00,Week after,63.5,74,3140,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:40:00,2010-01-10 06:40:00,Week before,63.75,70,3681,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:40:00,2010-01-17 06:40:00,Current week,63.5,55,2772,7,0,0
0,2010-01-17 11:51:00,2010-01-17 06:40:00,2010-01-24 06:40:00,Week after,63.5,66,3204,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:41:00,2010-01-10 06:41:00,Week before,63.75,70,3762,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:41:00,2010-01-17 06:41:00,Current week,63.5,71,3228,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:41:00,2010-01-24 06:41:00,Week after,63.75,103,3681,0,9,0
0,2010-01-17 11:51:00,2010-01-17 06:42:00,2010-01-10 06:42:00,Week before,63.75,90,3843,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:42:00,2010-01-17 06:42:00,Current week,63.75,65,3292,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:42:00,2010-01-24 06:42:00,Week after,63.5,75,2919,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:43:00,2010-01-10 06:43:00,Week before,63.5,59,3045,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:43:00,2010-01-17 06:43:00,Current week,63.75,70,3356,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:43:00,2010-01-24 06:43:00,Week after,63.5,80,3396,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:44:00,2010-01-10 06:44:00,Week before,63.5,93,3540,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:44:00,2010-01-17 06:44:00,Current week,63.25,78,3420,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:44:00,2010-01-24 06:44:00,Week after,63.25,70,3024,0,7,0
0,2010-01-17 11:51:00,2010-01-17 06:45:00,2010-01-10 06:45:00,Week before,63.5,71,3604,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:45:00,2010-01-17 06:45:00,Current week,63.75,63,3924,9,0,0
0,2010-01-17 11:51:00,2010-01-17 06:45:00,2010-01-24 06:45:00,Week after,63.5,78,3516,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:46:00,2010-01-10 06:46:00,Week before,63.5,74,3668,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:46:00,2010-01-17 06:46:00,Current week,63.5,68,3556,8,0,0
0,2010-01-17 11:51:00,2010-01-17 06:46:00,2010-01-24 06:46:00,Week after,63.5,81,3580,0,8,0
0,2010-01-17 11:51:00,2010-01-17 06:47:00,2010-01-10 06:47:00,Week before,63.75,74,4203,0,0,0
0,2010-01-17 11:51:00,2010-01-17 06:47:00,2010-01-17 06:47:00,Current week,63.5,74,3620,8,0,0
