DATE,afternoon_dummy,HourlyPrecipitation,HourlyDryBulbTemperature,treatment
2010-06-16,0,0.0,70.33333333333333,0
2010-06-16,1,0.0,71.0,0
2010-06-17,0,0.0,70.33333333333333,0
2010-06-17,1,0.0,70.0,0
2010-06-18,0,0.0,76.33333333333333,0
2010-06-18,1,0.0,83.0,0
2010-06-19,0,0.0,75.66666666666667,0
2010-06-19,1,0.0,80.0,0
2010-06-20,0,0.0,80.0,0
2010-06-20,1,0.0,87.0,0
2010-06-21,0,0.0,81.66666666666667,0
2010-06-21,1,0.0,86.33333333333333,0
2010-06-22,0,0.0,80.33333333333333,0
2010-06-22,1,0.0,83.66666666666667,0
2010-06-23,0,0.0,81.33333333333333,0
2010-06-23,1,0.0,86.0,0
2010-06-24,0,0.0,87.0,0
2010-06-24,1,0.0,85.66666666666667,0
2010-06-25,0,0.0,79.66666666666667,0
2010-06-25,1,0.0,84.33333333333333,0
2010-06-26,0,0.0,81.66666666666667,0
2010-06-26,1,0.0,87.66666666666667,0
2010-06-27,0,0.0,82.33333333333333,0
2010-06-27,1,0.0,88.33333333333333,0
2010-06-28,0,0.0,90.33333333333333,0
2010-06-28,1,0.0,90.66666666666667,0
2010-06-29,0,0.0,84.66666666666667,0
2010-06-29,1,0.0,87.66666666666667,0
2010-06-30,0,0.0,70.0,0
2010-06-30,1,0.0,77.0,0
2010-07-01,0,0.0,71.0,0
2010-07-01,1,0.0,75.33333333333333,0
2010-07-02,0,0.0,73.66666666666667,0
2010-07-02,1,0.0,80.0,0
2010-07-03,0,0.0,79.33333333333333,0
2010-07-03,1,0.0,87.33333333333333,0
2010-07-04,0,0.0,88.66666666666667,0
2010-07-04,1,0.0,94.66666666666667,0
2010-07-05,0,0.0,89.0,0
2010-07-05,1,0.0,97.0,0
2010-07-06,0,0.0,94.0,0
2010-07-06,1,0.0,101.0,0
2010-07-07,0,0.0,92.66666666666667,0
2010-07-07,1,0.0,98.0,0
2010-07-08,0,0.0,79.7,0
2010-07-08,1,0.0,84.75,0
2010-07-09,0,0.02,80.11111111111111,0
2010-07-09,1,0.0,87.66666666666667,0
2010-07-10,0,0.0,80.66666666666667,0
2010-07-10,1,0.0,80.0,0
2010-07-11,0,0.0,82.33333333333333,0
2010-07-11,1,0.0,90.66666666666667,0
2010-07-12,0,0.0,85.0,0
2010-07-12,1,0.0,92.66666666666667,0
2010-07-13,0,0.0,81.25,1
2010-07-13,1,0.8400000000000001,76.06666666666666,1
2010-07-15,0,0.0,77.33333333333333,0
2010-07-15,1,0.0,84.0,0
2010-07-16,0,0.0,84.0,0
2010-07-16,1,0.0,89.66666666666667,0
2010-07-17,0,0.0,85.33333333333333,0
2010-07-17,1,0.0,92.0,0
2010-07-18,0,0.0,87.0,0
2010-07-18,1,0.0,92.33333333333333,0
2010-07-20,0,0.0,82.66666666666667,0
2010-07-20,1,0.0,84.0,0
2010-07-21,0,0.0,86.66666666666667,0
2010-07-21,1,0.0,89.0,0
2010-07-22,0,0.0,82.0,0
2010-07-22,1,0.0,87.0,0
2010-07-23,0,0.01,80.0,1
2010-07-23,1,0.07,76.0,1
2010-07-24,0,0.0,89.33333333333333,0
2010-07-24,1,0.0,94.0,0
2010-07-25,0,0.0,87.66666666666667,0
2010-07-25,1,0.0,89.66666666666667,0
2010-07-26,0,0.0,79.0,0
2010-07-26,1,0.0,85.0,0
2010-07-27,0,0.0,82.33333333333333,0
2010-07-27,1,0.0,89.66666666666667,0
2010-07-28,0,0.0,81.33333333333333,0
2010-07-28,1,0.0,86.0,0
2010-07-29,0,0.0,81.0,1
2010-07-29,1,0.06,82.0,1
2010-07-30,0,0.0,76.0,0
2010-07-30,1,0.0,82.33333333333333,0
2010-07-31,0,0.0,73.33333333333333,0
2010-07-31,1,0.0,80.66666666666667,0
2010-08-01,0,0.0,76.33333333333333,0
2010-08-01,1,0.0,77.33333333333333,0
2010-08-02,0,0.0,78.25,0
2010-08-02,1,0.0,83.0,0
2010-08-03,0,0.0,79.66666666666667,0
2010-08-03,1,0.0,82.66666666666667,0
2010-08-04,0,0.0,84.4,0
2010-08-04,1,0.0,89.0,0
2010-08-05,0,0.0,86.66666666666667,0
2010-08-05,1,0.0,92.33333333333333,0
2010-08-06,0,0.0,84.33333333333333,0
2010-08-06,1,0.0,86.66666666666667,0
2010-08-07,0,0.0,76.33333333333333,0
2010-08-07,1,0.0,84.66666666666667,0
2010-08-08,0,0.0,81.33333333333333,0
2010-08-08,1,0.0,86.33333333333333,0
2010-08-09,0,0.0,85.33333333333333,0
2010-08-09,1,0.0,92.66666666666667,0
2010-08-10,0,0.0,84.33333333333333,0
2010-08-10,1,0.0,90.0,0
2010-08-11,0,0.0,84.66666666666667,0
2010-08-11,1,0.0,90.66666666666667,0
2010-08-12,0,0.04,71.6,0
2010-08-12,1,0.0,73.66666666666667,0
2010-08-13,0,0.0,75.66666666666667,0
2010-08-13,1,0.0,79.33333333333333,0
2010-08-14,0,0.0,76.0,0
2010-08-14,1,0.0,79.66666666666667,0
